Frequency,Phrase
21,additional details
13,in the
12,the government
11,the uk
9,of the
9,government should
8,to be
8,in the uk
8,there are
7,the government should
6,on the
6,this is
5,can be
5,of a
5,under the
4,do not
4,a breeder
4,has been
4,and the
4,number of
4,government to
4,bear bile
4,it is
4,the government to
4,of their
4,animal welfare
4,should be
3,there is
3,consumers are
3,some of
3,be illegal to
3,be illegal
3,that the
3,illegal to
3,on the government
3,dogs and
3,the animal
3,meat and
3,and is
3,the number
3,factory farming
3,welfare standards
3,consumption by
3,the number of
3,production and
3,that all
3,ensure that
3,are some
3,have been
2,breeders and
2,and shelters
2,should not
2,percent longer than intact
2,to their
2,red squirrels
2,conditions to
2,enforceable conditions to
2,enforceable conditions
2,shelters to
2,horses and
2,additional details this
2,licences to
2,could be
2,by jews or
2,consumption by jews
2,for consumption by
2,the hunting
2,cropped dogs
2,is because
2,the world
2,this way
2,for the
2,will be
2,and kosher meat
2,halal and kosher
2,with the
2,only a
2,home checks
2,a single database
2,in this
2,pollinators are
2,so that
2,jews or
2,by jews
2,the uk government
2,uk government should
2,for consumption
2,than intact
2,and dairy consumption
2,longer than
2,percent longer
2,bear bile farming
2,and pollinators
2,kosher meat
2,and kosher
2,or muslims
2,the uk government should
2,and shelters to
2,a single
2,tunnels for
2,single database
2,bile farming
2,breeders and shelters
2,breeders and shelters to
2,dogs with
2,an animal
2,percent longer than
2,longer than intact
2,uk government
2,details this
2,shooting of
2,halal and
2,jews or muslims
2,additional details the government should
2,to control
2,of age
2,calling on the
2,and for
2,solely for rehabilitation
2,and pronged collars
2,choke and pronged
2,4 months
2,months of
2,is a
2,control dogs
2,can cause
2,pronged collars
2,and pronged
2,choke and
2,of dogs
2,must be
2,for rehabilitation
2,choke and pronged collars
2,access to
2,make it
2,to end
2,the most
2,is the
2,in england
2,england as
2,dogs can
2,dairy consumption
2,and dairy
2,the number of dogs
2,meat and dairy consumption
2,a dog
2,dogs can be
2,calling on
2,the public
2,number of dogs
2,their lives
2,solely for
2,in order to
2,4 months of
2,and should
2,greater protection
2,by jews or muslims
2,consumption by jews or
2,for consumption by jews
2,halal and kosher meat
2,hunts have
2,habitats and
2,breeders can
2,of cats
2,in this way
2,this is because
2,slaughtered in this
2,the animal welfare
2,want to
2,some of the
2,calling on the government to
2,the same
2,months of age
2,this can
2,consumption by jews or muslims
2,for consumption by jews or
2,animal suffering
2,this practice
2,animals are
2,climate change
2,forestry england
2,to improve
2,order to
2,in order
2,their license
2,calling on the government
2,on the government to
2,4 months of age
2,slaughtered in this way
2,hunting and
2,slaughtered in
2,meat and dairy
2,want the government to
2,disease and
2,spread disease
2,30 people gathered
2,additional details the government
2,a high
2,details the government should
2,details the government
2,details the
2,it has
2,at the
2,its time
2,production and welfare
2,food production and
2,the point
2,point of
2,the hunting and
2,30 people gathered to
2,other animals
2,the point of
2,at the point
2,for pollinators
2,would be illegal to produce
2,database of
2,of having
2,would be illegal
2,illegal to produce
2,additional details the
2,to produce
2,would be
2,it would
2,vital for
2,the british
2,30 people
2,people gathered
2,at the point of
2,gathered to
2,are not
2,would be illegal to
2,be illegal to produce
2,support the
2,to allow
2,spread disease and
2,cats and
2,want the government
2,people gathered to
2,i want
2,unaware that
2,want the
2,its time to
2,time to
2,percentage of
2,many animals
2,food production
2,to ensure
2,and welfare
1,foster that and
1,the bee superhighway will
1,essential component of the
1,an essential component of
1,are an essential component
1,network the bee superhighway
1,pollinators are an essential
1,component of the habitats
1,and well being
1,shelter and well
1,food shelter and
1,for food shelter
1,on for food
1,rely on for
1,animals rely on
1,many animals rely
1,pollinator networks nationwide
1,culling is inhumane
1,creating pollinator networks
1,we and many
1,networks nationwide
1,we want the
1,government to highlight
1,we and many animals
1,is inhumane and
1,to highlight promote
1,that we and many
1,highlight promote and
1,ecosystem that we and
1,and ecosystem that we
1,must encourage it
1,promote and support
1,habitats and ecosystem that
1,the habitats and ecosystem
1,and support the
1,support the importance
1,the importance of
1,of the habitats and
1,importance of creating
1,this network the bee
1,of creating pollinator
1,and many animals
1,ecosystem that we
1,bee superhighway will foster
1,promote and support the
1,and many
1,and help the long
1,we and
1,that we
1,ecosystem that
1,the government to highlight
1,government to highlight promote
1,to highlight promote and
1,highlight promote and support
1,and support the importance
1,that we and
1,help the long term
1,support the importance of
1,and ecosystem
1,the habitats
1,the long term sustainability
1,component of
1,essential component
1,an essential
1,are an
1,that and help the
1,animals rely
1,rely on
1,foster that and help
1,pollinator networks
1,and ecosystem that
1,superhighway will foster that
1,we want the government
1,habitats and ecosystem
1,the habitats and
1,of the habitats
1,component of the
1,essential component of
1,will foster that and
1,an essential component
1,are an essential
1,pollinators are an
1,well being
1,and well
1,shelter and
1,food shelter
1,for food
1,on for
1,and many animals rely
1,many animals rely on
1,creating pollinator
1,will foster that
1,and should be banned
1,help the
1,should be banned immediately
1,this method of culling is
1,and help
1,that and
1,foster that
1,will foster
1,method of culling is inhumane
1,superhighway will
1,of culling is inhumane and
1,bee superhighway
1,culling is inhumane and should
1,of culling is inhumane
1,the bee
1,network the
1,this network
