Frequency,Phrase
31,additional details
15,to be
15,in the
13,of the
11,to the
10,the government
9,for the
8,the government should
8,can be
8,we want
8,government should
7,able to
7,must be
6,need to
6,on the
6,victims of
6,the uk
6,by a
6,police and
5,we need
5,to protect
5,needs to
5,those who
5,is a
5,be able
5,police forces
5,the law
5,we need to
5,be able to
5,should be
5,fire safety
5,the road
5,the police
5,social media
4,is not
4,to stop
4,of child sexual
4,do not
4,to provide
4,sexual abuse
4,mixed sex
4,the victims
4,with the
4,house of
4,s 76
4,in the uk
4,of child
4,child sexual
4,as an
4,there is
4,by the
4,as a
3,and more
3,have a
3,he was
3,victims of child
3,the house of commons
3,in a
3,a criminal offence
3,domestic abuse
3,and fire
3,workers are
3,victims of child sexual
3,be done
3,needs to be
3,who are
3,security staff
3,would like
3,killed in
3,was killed
3,an animal
3,more than
3,due to
3,a person
3,was not
3,last year
3,the house of
3,criminal offence
3,of commons
3,of this
3,to remove
3,police officers
3,legislation to
3,the same
3,this must
3,to make
3,use of
3,the public
3,the house
3,by police
3,government to
3,not fit
3,additional details the
3,a criminal
3,law to
3,who have
3,the general public
3,details the
3,does not
3,of a
3,years for
3,general public
3,the general
3,to support
3,the police and
3,house of commons
3,make it
3,the honours
3,of their
3,death by
3,dangerous driving
3,sentence of
3,the larger
3,death by careless
3,by careless driving
3,18 months
3,an incident
3,death by careless driving
3,on the road
3,this is
3,of an incident
3,people who
3,i am
3,of an
3,members of
3,larger vehicle
3,justice is
3,the most
3,careless driving
3,single sex
3,by careless
3,the larger vehicle
3,are not
2,causing death by
2,officers to be able to
2,and refurbished schools
2,able to continue
2,social networks
2,new build and
2,build and refurbished
2,are afforded
2,victims without
2,can feel
2,is only
2,3 years for
2,3 years
2,video evidence
2,members of the
2,scotland and wales
2,to continue
2,provide evidence
2,law and
2,or they
2,and is
2,it is
2,in the event of an
2,evidence to
2,to police
2,to release
2,media outlets
2,outlets and
2,at a
2,those who have
2,shared without consent
2,could prevent
2,media outlets and
2,new build
2,appropriate justice
2,psychiatric wards
2,abuse and
2,of abuse
2,nazi salutes
2,from happening
2,of nazi
2,causing death by careless driving
2,to get
2,the use
2,safety defects
2,build and refurbished schools
2,new build and refurbished
2,recordings of
2,causing death by careless
2,provide evidence to police
2,to include
2,police officers to be able
2,provide evidence to
2,fire safety defects
2,evidence to police
2,the abuser
2,want police officers to be
2,they were acting in the
2,mixed sex wards
2,be prosecuted
2,drink driver who
2,a drink driver
2,by a drink
2,scotland and
2,were acting in the victims
2,look at
2,emergency workers
2,acting in the victims best
2,in the victims best interest
2,other countries
2,from other
2,as we
2,refurbished schools
2,until they
2,driving until
2,an offender
2,suspension notice
2,a suspension
2,officers to
2,want police
2,and refurbished
2,can be prosecuted
2,76 serious crime act 2015
2,s 76 serious crime act
2,the victims best interest
2,in the victims best
2,acting in the victims
2,were acting in the
2,they were acting in
2,over the
2,and wales
2,causing death
2,a drink
2,police officers to be
2,driver who
2,officers to be able
2,to be able to
2,victims of domestic abuse
2,drink driver
2,by a drink driver who
2,we want police
2,in the house
2,this needs to
2,this needs
2,new legislation
2,we want police officers to
2,killer was
2,want police officers to
2,we want police officers
2,in the house of
2,sex wards
2,of domestic abuse
2,victims of domestic
2,driving until they
2,in the house of commons
2,a drink driver who
2,of domestic
2,a suspension notice
2,impact that
2,to be able
2,by a drink driver
2,officers to be
2,police officers to
2,want police officers
2,forces to
2,to heal
2,without consent
2,involved in
2,liability for
2,i would like
2,life sentences
2,the maximum
2,the prison sentences
2,we are
2,we believe
2,a serious or
2,for the sake of
2,to report
2,and make
2,sentence to
2,fail to
2,had a
2,sentences and
2,prison sentences
2,the prison
2,from our
2,a serious or fatal
2,the building
2,building safety
2,safety fund
2,by introducing
2,the building safety
2,building safety fund
2,not fit for purpose
2,introducing legislation
2,scene and report
2,be at
2,the building safety fund
2,event of
2,have had
2,should have
2,the sake of
2,to do
2,the sentence
2,event of an incident
2,will be
2,on their
2,up to
2,the event of an
2,that it
2,it was
2,be a
2,in the event of
2,and a
2,of child sexual abuse
2,the sake
2,i would
2,sake of
2,for the sake
2,funding to
2,child abuse
2,and make it
2,we need to set
2,event of an
2,a sexual
2,need to set
2,the event of
2,additional details we
2,child sexual abuse
2,to set
2,help the
2,in the event
2,details we
2,serious or fatal
2,other road
2,shared without
2,at the
2,services to support
2,to support families
2,millions of
2,stop them
2,and the
2,the vehicle
2,maximum sentence
2,road users
2,alternative services to support
2,services to support families
2,and take
2,issues and
2,police are
2,respond to
2,of people
2,alternative services to
2,and their
2,support families
2,services to
2,alternative services
2,and fund
2,an ingredient
2,waking watches
2,to wait
2,of rawhide
2,for a
2,against children
2,new build and refurbished schools
2,the event of an incident
2,the current
2,sentence for
2,additional details to
2,to stop them
2,children and
2,serious or
2,by introducing legislation
2,under 18m
2,and report
2,scene and
2,the scene
2,fit for purpose
2,not fit for
2,or fatal
2,the event
2,many offenders
2,as an ingredient
2,as they
2,serious crime act 2015
2,to people
2,a serious
2,the victim
2,devastating impact
2,so that
2,can have
2,other road users
2,it will
2,those that
