Frequency,Phrase
16,additional details
12,the government
9,to the
9,in the
6,have been
6,on the
6,students to
6,the uk
5,the government to
5,covid 19
5,children in
5,to have
5,of the
5,right to
5,government to
5,a level
5,due to
4,have a
4,free meals
4,have the
4,for the
4,and the
4,the right
4,due to the
4,the same
4,to attend
4,to be
4,to ensure
4,the right to
3,to allow
3,additional details the
3,home educated students
3,based on
3,the government should
3,home educated
3,grade boundaries
3,some people
3,educated students
3,a huge
3,need to
3,predicted grades
3,access to
3,that they
3,we have
3,details the
3,children in early
3,do not
3,well being
3,there are
3,vulnerable children in early
3,to school
3,we want
3,government should
3,vulnerable children
3,in early
3,vulnerable children in
3,and a
3,should be
3,unable to
2,the risk
2,students and
2,children have
2,those from
2,students true
2,parents the
2,it is
2,to achieve
2,the children
2,of their education
2,in which a
2,this has
2,examination centres
2,of pupils
2,additional details due to the
2,opportunity to
2,the next
2,reflect the
2,the true
2,in england
2,had a
2,huge impact
2,being and
2,a parent
2,their education
2,regardless of
2,of their
2,with their
2,impact on
2,give parents
2,the process
2,to homeschool
2,appeals process
2,years settings
2,details due to
2,additional details due
2,attend school
2,we believe
2,meals for
2,want the government to
2,grades have been
2,final grades have
2,we want the government
2,early years
2,in early years settings
2,children in early years
2,be lowered
2,in which a student
2,the area
2,grades have
2,final grades
2,want the government
2,we want the
2,erasmus plus
2,school or
2,want the
2,details due
2,early years settings
2,in early years
2,in the uk
2,students in
2,i would
2,we want the government to
2,to attend school
2,had a huge
2,a huge impact
2,huge impact on
2,the uk will
2,impact on the
2,and other
2,details due to the
2,give parents the right to
2,additional details due to
2,to fund
2,and to
2,should have
2,dont have
2,similar to
2,who do
2,for their
2,childcare settings
2,a huge impact on
2,huge impact on the
2,uk will
2,well being and
2,final grades have been
2,children in early years settings
2,vulnerable children in early years
2,a huge impact on the
2,their childs
2,which a student
2,free meals for
2,to go to school
2,to sit
2,university students
2,to raise
2,have the right
2,the actual
2,able to
2,gcses and a levels
2,have the right to
2,cancel gcses and a
2,a year
2,by the
2,the grade boundaries
2,their basic needs
2,of covid 19
2,retail hospitality and leisure businesses
2,parents the right
2,of students
2,go to
2,have their basic needs
2,to go
2,give parents the
2,have their basic
2,grades to
2,people have
2,the a
2,mps and
2,this year
2,many families
2,parents guardians
2,cancel gcses and a levels
2,the grade
2,that the
2,lowered considering
2,and leisure businesses
2,hospitality and leisure
2,retail hospitality and
2,basic needs
2,their basic
2,have their
2,thousands of
2,go to school
2,following the
2,for schools
2,to go to
2,parents the right to
2,give parents the right
2,retail hospitality and leisure
2,hospitality and leisure businesses
2,grades they
2,allow overnight
2,they feel
2,their doors
2,evidence that
2,support staff
2,leisure businesses
2,during the
2,based on the
2,the pandemic
2,and leisure
2,a levels
2,from the
2,gcses and
2,hospitality and
2,achieve the
2,retail hospitality
2,the governments
2,some people have
2,cancel gcses
2,is the
2,of many
2,business rates
2,back to
2,in 2021
2,to do
2,their children
2,to keep
2,cancel gcses and
2,which a
2,a student
2,schools are
2,in this
2,gcses and a
2,and a levels
2,of covid
2,the a level
2,have to
2,in which
2,during the pandemic
2,the exam
2,nations future
1,grants have been removed
1,concerns about tuition fees
1,as grants have been
1,year which are too high
1,additional details higher education is
1,details higher education is the
1,are too high particularly as
1,which are too high particularly
1,particularly as grants have
1,about tuition fees of
1,and concerns about tuition
1,high particularly as grants have
1,removed additional details higher education
1,been removed additional details higher
1,too high particularly as
1,have been removed additional
1,high particularly as grants
1,have been removed additional details
1,which are too high
1,year which are too
1,a year which are
1,as grants have been removed
1,£9250 a year which
1,of £9250 a year
1,particularly as grants have been
1,fees of £9250 a
1,are too high particularly
1,too high particularly as grants
1,tuition fees of £9250
1,grants have been removed additional
1,student fees and other
1,been removed additional details
1,to voice their opinions and
1,allow students to voice their
1,are crucial to give
1,crucial to give them
1,to give them the
1,will allow students to voice
1,give them the opportunity
1,them the opportunity to
1,the opportunity to raise
1,opportunity to raise the
1,to raise the issues
1,it will allow students to
1,raise the issues of
1,the issues of concern
1,issues of concern in
1,lives including accommodation costs
1,opinions and concerns about
1,their lives including accommodation
1,impacting their lives including
1,matters impacting their lives
1,of concern in particular
1,other matters impacting their
1,concern in particular reducing
1,and other matters impacting
1,in particular reducing university
1,particular reducing university student
1,reducing university student fees
1,fees and other matters
1,students to voice their opinions
1,voice their opinions and concerns
1,a year which are too
1,students are crucial to
1,removed additional details higher
1,£9250 a year which are
1,additional details higher education
1,details higher education is
1,higher education is the
1,education is the key
1,is the key for
1,the key for our
1,key for our nations
1,for our nations future
1,of £9250 a year which
1,fees of £9250 a year
1,our nations future live
1,university student fees and
1,tuition fees of £9250 a
1,about tuition fees of £9250
1,concerns about tuition fees of
1,future live parliament debates
1,live parliament debates involving
1,parliament debates involving mps
1,debates involving mps and
1,and concerns about tuition fees
1,opinions and concerns about tuition
1,involving mps and students
1,their opinions and concerns about
1,mps and students are
1,and students are crucial
1,nations future live parliament
1,involving mps and
1,their opinions and concerns
1,of £9250
1,grants have
1,as grants
1,particularly as
1,high particularly
1,too high
1,are too
1,which are
1,year which
1,£9250 a
1,fees of
1,issues of
1,tuition fees
1,about tuition
1,concerns about
1,and concerns
1,opinions and
1,their opinions
1,voice their
1,to voice
1,allow students
1,been removed
1,removed additional
1,details higher
1,higher education
1,raise the
1,the opportunity
1,them the
1,give them
1,to give
1,crucial to
1,are crucial
1,students are
1,and students
1,involving mps
1,debates involving
1,parliament debates
1,live parliament
1,future live
1,our nations
1,for our
1,key for
1,the key
1,education is
1,will allow
1,it will
1,discuss issues that affect them
1,university students to raise
1,mps and university students
1,between mps and university
1,parliament between mps and
1,in parliament between mps
1,debates in parliament between
1,holding debates in parliament
1,consider holding debates in
1,to consider holding debates
1,government to consider holding
1,the government to consider
1,on the government to
1,call on the government
1,that affect them
1,issues that affect
1,discuss issues that
1,raise discuss issues
1,to raise discuss
1,students to raise
1,university students to
1,and university students to
1,students to raise discuss
1,raise discuss issues that affect
1,to raise discuss issues
1,to raise discuss issues that
1,students to raise discuss issues
1,university students to raise discuss
1,and university students to raise
1,mps and university students to
1,between mps and university students
1,parliament between mps and university
1,in parliament between mps and
1,debates in parliament between mps
1,holding debates in parliament between
1,consider holding debates in parliament
1,to consider holding debates in
1,government to consider holding debates
1,the government to consider holding
1,on the government to consider
1,call on the government to
1,issues that affect them
1,discuss issues that affect
1,raise discuss issues that
1,the issues
1,of concern
1,voice their opinions and
1,and students are
1,to raise the
1,opportunity to raise
1,the opportunity to
1,them the opportunity
1,give them the
1,to give them
1,crucial to give
1,are crucial to
1,students are crucial
1,mps and students
1,concern in
1,education is the key for
1,debates involving mps
1,parliament debates involving
1,live parliament debates
1,future live parliament
1,nations future live
1,our nations future
1,for our nations
1,key for our
1,raise the issues
1,the issues of
1,issues of concern
1,of concern in
1,to voice their opinions
1,students to voice their
1,allow students to voice
1,will allow students to
1,it will allow students
1,including accommodation costs
1,lives including accommodation
1,their lives including
1,impacting their lives
1,matters impacting their
1,other matters impacting
1,and other matters
1,fees and other
1,student fees and
1,university student fees
1,reducing university student
1,particular reducing university
1,in particular reducing
1,concern in particular
1,the key for
1,is the key
1,education is the
1,opinions and concerns
1,voice their opinions
1,to voice their
1,students to voice
1,allow students to
1,will allow students
1,it will allow
1,accommodation costs
1,including accommodation
1,lives including
1,their lives
1,impacting their
1,matters impacting
1,other matters
1,fees and
1,student fees
1,university student
1,reducing university
1,particular reducing
1,in particular
1,their opinions and
1,and concerns about
1,higher education is
1,concerns about tuition
1,details higher education
1,additional details higher
1,removed additional details
1,been removed additional
1,have been removed
1,grants have been
1,as grants have
1,particularly as grants
1,high particularly as
1,too high particularly
1,are too high
1,which are too
1,year which are
1,a year which
1,£9250 a year
1,of £9250 a
1,fees of £9250
1,tuition fees of
1,about tuition fees
1,higher education is the key
1,many elt
1,is the key for our
1,but there are vulnerable children
1,childcare settings who do not
1,year childcare settings who do
1,early year childcare settings who
1,in early year childcare settings
1,children in early year childcare
1,vulnerable children in early year
1,are vulnerable children in early
1,there are vulnerable children in
1,meals but there are vulnerable
1,who do not receive the
1,free meals but there are
1,to free meals but there
1,access to free meals but
1,have access to free meals
1,schools have access to free
1,in schools have access to
1,children in schools have access
1,disadvantaged children in schools have
1,settings who do not receive
1,do not receive the same
1,receive the same support
1,policy on
1,settings appear to
1,childcare settings appear
1,in childcare settings
1,children in childcare
1,younger children in
1,details younger children
1,additional details younger
1,on free
1,governments policy
1,not receive the same support
1,out by
1,left out
1,been left
1,appear to
1,settings appear
1,in childcare
1,younger children
1,details younger
1,currently disadvantaged children in schools
1,not receive the same
1,to have been
1,are vulnerable children
1,not receive the
1,do not receive
1,who do not
1,settings who do
1,childcare settings who
1,year childcare settings
1,early year childcare
1,in early year
1,there are vulnerable
1,the same support
1,but there are
1,meals but there
1,free meals but
1,to free meals
1,access to free
1,have access to
1,schools have access
1,in schools have
1,receive the same
1,currently disadvantaged children in
1,do not receive the
1,there are vulnerable children
1,who do not receive
1,settings who do not
1,childcare settings who do
1,year childcare settings who
1,early year childcare settings
1,in early year childcare
1,children in early year
1,are vulnerable children in
1,but there are vulnerable
1,disadvantaged children in schools
1,meals but there are
1,free meals but there
1,to free meals but
1,access to free meals
1,have access to free
1,schools have access to
1,in schools have access
1,children in schools have
1,appear to have
1,have been left
1,the key for our nations
1,met by
1,climate when many
1,current climate when
1,the current climate
1,in the current
1,these children
1,for these
1,funding free
1,by funding
1,needs met
1,many families are
1,settings have
1,ensure vulnerable
1,needs to
1,government needs
1,hardship the
1,facing hardship
1,are facing
1,families are
1,when many families
1,families are facing
1,climate when
1,basic needs met
1,the current climate when
1,in the current climate
1,for these children
1,meals for these
1,funding free meals
1,by funding free
1,met by funding
1,needs met by
1,settings have their
1,are facing hardship
1,years settings have
1,ensure vulnerable children
1,to ensure vulnerable
1,needs to ensure
1,government needs to
1,the government needs
1,hardship the government
1,facing hardship the
1,when many
1,current climate
1,been left out
1,younger children in childcare
1,been left out by
1,have been left out
1,to have been left
1,appear to have been
1,settings appear to have
1,childcare settings appear to
1,in childcare settings appear
1,children in childcare settings
1,details younger children in
1,out by the governments
1,additional details younger children
1,on free meals
1,policy on free
1,governments policy on
1,the governments policy
1,by the governments
1,out by the
1,left out by
1,left out by the
1,by the governments policy
1,the current
1,appear to have been left
1,governments policy on free meals
1,the governments policy on free
1,by the governments policy on
1,out by the governments policy
1,left out by the governments
1,been left out by the
1,have been left out by
1,to have been left out
1,settings appear to have been
1,the governments policy on
1,childcare settings appear to have
1,in childcare settings appear to
1,children in childcare settings appear
1,younger children in childcare settings
1,details younger children in childcare
1,additional details younger children in
1,policy on free meals
1,governments policy on free
1,children in schools
1,disadvantaged children in
1,currently disadvantaged children
1,should include university
1,poorer backgrounds and
1,from poorer backgrounds
1,those from poorer
1,graduates those from
1,post graduates those
1,students post graduates
1,university students post
1,include university students
1,debates should include
1,and disabilities also
1,the debates should
1,college students
1,also college
1,disabilities also
1,and disabilities
1,backgrounds and
1,mps and university
1,poorer backgrounds
1,backgrounds and disabilities
1,disabilities also college
1,graduates those
1,from poorer backgrounds and
1,include university students post graduates
1,should include university students post
1,debates should include university students
1,the debates should include university
1,disabilities also college students
1,and disabilities also college
1,backgrounds and disabilities also
1,poorer backgrounds and disabilities
1,those from poorer backgrounds
1,also college students
1,graduates those from poorer
1,post graduates those from
1,students post graduates those
1,university students post graduates
1,include university students post
1,should include university students
1,debates should include university
1,the debates should include
1,from poorer
1,post graduates
1,same support
1,mps and students are crucial
1,the opportunity to raise the
1,them the opportunity to raise
1,give them the opportunity to
1,to give them the opportunity
1,crucial to give them the
1,are crucial to give them
1,students are crucial to give
1,and students are crucial to
1,involving mps and students are
1,to raise the issues of
1,debates involving mps and students
1,parliament debates involving mps and
1,live parliament debates involving mps
1,future live parliament debates involving
1,nations future live parliament debates
1,our nations future live parliament
1,for our nations future live
1,key for our nations future
1,opportunity to raise the issues
1,raise the issues of concern
1,students post
1,and other matters impacting their
1,include university
1,should include
1,debates should
1,the debates
1,their lives including accommodation costs
1,impacting their lives including accommodation
1,matters impacting their lives including
1,other matters impacting their lives
1,fees and other matters impacting
1,the issues of concern in
1,student fees and other matters
1,university student fees and other
1,reducing university student fees and
1,particular reducing university student fees
1,in particular reducing university student
1,concern in particular reducing university
1,of concern in particular reducing
1,issues of concern in particular
1,university students post graduates those
1,students post graduates those from
1,post graduates those from poorer
1,has left the nations future
1,uncertain we want the government
1,market uncertain we want the
1,job market uncertain we want
1,economy job market uncertain we
1,future economy job market uncertain
1,nations future economy job market
1,the nations future economy job
1,left the nations future economy
1,19 has left the nations
1,the government to fund free
1,covid 19 has left the
1,for vulnerable children in
1,meals for vulnerable children
1,free meals for vulnerable
1,fund free meals for
1,to fund free meals
1,government to fund free
1,the government to fund
1,want the government to fund
1,government to fund free meals
1,graduates those from poorer backgrounds
1,to free
1,receive the
1,not receive
1,settings who
1,year childcare
1,early year
1,are vulnerable
1,but there
1,meals but
1,have access
1,to fund free meals for
1,schools have
1,in schools
1,disadvantaged children
1,currently disadvantaged
1,for vulnerable children in early
1,meals for vulnerable children in
1,free meals for vulnerable children
1,fund free meals for vulnerable
1,uncertain we want the
1,market uncertain we want
1,job market uncertain we
1,future economy
1,19 has left
1,covid 19 has
1,for vulnerable
1,fund free
1,uncertain we
1,market uncertain
1,job market
1,economy job
1,the nations
1,economy job market uncertain
1,left the
1,has left
1,19 has
1,and disabilities also college students
1,backgrounds and disabilities also college
1,poorer backgrounds and disabilities also
1,from poorer backgrounds and disabilities
1,those from poorer backgrounds and
1,has left the
1,left the nations
1,the nations future
1,nations future economy
1,future economy job market
1,nations future economy job
1,the nations future economy
1,left the nations future
1,has left the nations
1,19 has left the
1,covid 19 has left
1,for vulnerable children
1,meals for vulnerable
1,fund free meals
1,to fund free
1,government to fund
1,uncertain we want
1,market uncertain we
1,job market uncertain
1,economy job market
1,future economy job
1,and university students
1,government should change a
1,between mps and
1,for some people that have
1,boundaries need
1,therefore the
1,for this as an option
1,choice for this as an
1,no choice for this as
1,have no choice for this
1,that have no choice for
1,people that have no choice
1,some people that have no
1,unfair for some people that
1,have to sit the exam
1,utterly unfair for some people
1,and utterly unfair for some
1,completely and utterly unfair for
1,is completely and utterly unfair
1,process is completely and utterly
1,this process is completely and
1,this as an option
1,for this as an
1,choice for this as
1,considering any
1,any studying
1,studying now
1,now for
1,grade boundaries need
1,therefore the grade
1,and prepare
1,revise and
1,to revise
1,months to
1,two months
1,than two
1,less than
1,given less
1,now given
1,been now
1,based we
1,school based
1,not school
1,and not
1,independent and
1,is independent
1,exam is
1,no choice for this
1,have no choice for
1,that have no choice
1,and utterly unfair
1,is completely and
1,process is completely
1,this process is
1,an option
1,as an
1,this as
1,for this
1,choice for
1,no choice
1,have no
1,that have
1,people that
1,for some
1,unfair for
1,utterly unfair
1,and utterly
1,completely and
1,is completely
1,process is
1,completely and utterly
1,utterly unfair for
1,people that have no
1,unfair for some
1,some people that have
1,for some people that
1,unfair for some people
1,utterly unfair for some
1,and utterly unfair for
1,completely and utterly unfair
1,is completely and utterly
1,process is completely and
1,this process is completely
1,as an option
1,this as an
1,for this as
1,choice for this
1,no choice for
1,have no choice
1,that have no
1,people that have
1,some people that
1,for some people
1,boundaries need to
1,need to be
1,to be lowered
1,studying now for the exam
1,considering any studying now for
1,lowered considering any studying now
1,be lowered considering any studying
1,to be lowered considering any
1,need to be lowered considering
1,boundaries need to be lowered
1,grade boundaries need to be
1,the grade boundaries need to
1,therefore the grade boundaries need
1,to revise and prepare
1,months to revise and
1,two months to revise
1,than two months to
1,less than two months
1,given less than two
1,now given less than
1,been now given less
1,have been now given
1,we have been now
1,any studying now for the
1,now for the exam is
1,school based we have
1,for the exam is independent
1,allow btec
1,should allow
1,months to revise and prepare
1,two months to revise and
1,than two months to revise
1,less than two months to
1,given less than two months
1,now given less than two
1,been now given less than
1,have been now given less
1,we have been now given
1,based we have been now
1,school based we have been
1,not school based we have
1,and not school based we
1,independent and not school based
1,is independent and not school
1,exam is independent and not
1,the exam is independent and
1,based we have been
1,not school based we
1,be lowered considering
1,than two months
1,given less than
1,now given less
1,been now given
1,have been now
1,we have been
1,based we have
1,school based we
1,not school based
1,and not school
1,independent and not
1,is independent and
1,exam is independent
1,the exam is
1,for the exam
1,now for the
1,studying now for
1,any studying now
1,considering any studying
1,lowered considering any
1,less than two
1,two months to
1,and not school based
1,months to revise
1,independent and not school
1,is independent and not
1,exam is independent and
1,the exam is independent
1,for the exam is
