Frequency,Phrase
6,additional details
5,social distancing
4,allowed to
4,the government
4,to reopen
3,this petition
3,industry is
3,additional details the
3,details the
3,with the
3,be allowed
3,in the
3,be allowed to
3,allowed to reopen
2,football games
2,theatre industry
2,to protect
2,extend the
2,at a
2,self employed
2,the seiss
2,advice remains
2,to the
2,the theatre
2,adversely affected
2,distancing in
2,government to
2,to review
2,against all
2,in place
2,more than
2,the current
2,the theatre industry
2,theatre industry is
2,should not be
2,the government to
2,social distancing in
2,not be
2,should not
2,remains against
2,but essential
2,all but
2,with social distancing requirements
2,non league
2,the community
2,a range
2,range of
2,such as
2,a range of
2,of fans
2,fans attending
2,all but essential international travel
2,against all but essential international
2,remains against all but essential
2,advice remains against all but
2,live music venues
2,but essential international travel
2,all but essential international
2,against all but essential
2,remains against all but
2,advice remains against all
2,music venues
2,live music
2,essential international travel
2,but essential international
2,all but essential
2,against all but
2,remains against all
2,advice remains against
2,will be
2,international travel
2,essential international
2,should be allowed to reopen
2,to return
2,can comply with
2,with social distancing
2,sports clubs
2,and other
2,be allowed to reopen
2,should be
2,distancing requirements
2,social distancing requirements
2,with social
2,comply with
2,should be allowed
2,should be allowed to
2,can comply
2,the theatre industry is
1,businesses will be
1,our businesses will
1,this changes our
1,until this changes
1,and until this
1,travel and until
1,international travel and
1,changes our businesses
1,that sum cannot do
1,bail out but that
1,out but that sum
1,but that sum cannot
1,be adversely affected
1,fco advice remains
1,the fco advice
1,be adversely
1,sum cannot do more
1,businesses will
1,our businesses
1,changes our
1,this changes
1,until this
1,will be adversely
1,culture bail out but
1,the fco advice remains
1,fco advice remains against
1,this changes our businesses will
1,until this changes our businesses
1,and until this changes our
1,travel and until this changes
1,international travel and until this
1,essential international travel and until
1,but essential international travel and
1,november additional details the
1,additional details the theatre
1,details the theatre industry
1,theatre industry is benefiting
1,fco advice remains against all
1,the fco advice remains against
1,will be adversely affected
1,businesses will be adversely
1,our businesses will be
1,changes our businesses will
1,this changes our businesses
1,until this changes our
1,and until this changes
1,travel and until this
1,international travel and until
1,industry is benefiting from
1,essential international travel and
1,is benefiting from the
1,benefiting from the culture
1,from the culture bail
1,the culture bail out
1,travel and
1,and until
1,distancing in indoor theatres as
1,cannot do more than
1,was designed
1,protect the self
1,to protect the
1,designed to protect
1,was designed to
1,seiss was designed
1,the seiss was
1,by coronavirus
1,affected by
1,survive the current closure
1,employed adversely
1,the self
1,protect the
1,given the dire situation the
1,designed to
1,seiss was
1,changes our businesses will be
1,for self employed travel professionals
1,scheme for self employed travel
1,seiss scheme for self employed
1,the seiss scheme for self
1,extend the seiss scheme for
1,self employed travel professionals
1,for self employed travel
1,scheme for self employed
1,seiss scheme for self
1,the seiss scheme for
1,extend the seiss scheme
1,employed travel professionals
1,self employed travel
1,for self employed
1,the self employed
1,self employed adversely
1,employed adversely affected
1,adversely affected by
1,more than help some
1,than help some venues
1,help some venues and
1,some venues and organisations
1,fco advice
1,the fco
1,employed adversely affected by coronavirus
1,self employed adversely affected by
1,the self employed adversely affected
1,protect the self employed adversely
1,to protect the self employed
1,designed to protect the self
1,was designed to protect the
1,seiss was designed to protect
1,the seiss was designed to
1,venues and organisations survive
1,adversely affected by coronavirus
1,employed adversely affected by
1,self employed adversely affected
1,and organisations survive the
1,the self employed adversely
1,protect the self employed
1,to protect the self
1,designed to protect the
1,was designed to protect
1,seiss was designed to
1,organisations survive the current
1,the seiss was designed
1,affected by coronavirus
1,do more than help
1,our businesses will be adversely
1,of november additional details
1,timeline of november additional
1,an all time
1,at an all
1,now at an
1,is now at
1,travelling is now
1,in travelling is
1,confidence in travelling
1,exemptions confidence in
1,these exemptions confidence
1,to these exemptions
1,changes to these
1,with changes to
1,but with changes
1,advice but with
1,this advice but
1,to this advice
1,exemptions to this
1,been exemptions to
1,have been exemptions
1,there have been
1,time low!
1,all time
1,an all
1,at an
1,now at
1,is now
1,travelling is
1,in travelling
1,confidence in
1,all time low!
1,there have been exemptions
1,have been exemptions to
1,now at an all
1,changes to these exemptions confidence
1,with changes to these exemptions
1,but with changes to these
1,advice but with changes to
1,this advice but with changes
1,to this advice but with
1,before the currently stated
1,exemptions to this advice but
1,been exemptions to this advice
1,have been exemptions to this
1,there have been exemptions to
1,an all time low!
1,at an all time
1,is now at an
1,been exemptions to this
1,travelling is now at
1,in travelling is now
1,confidence in travelling is
1,exemptions confidence in travelling
1,these exemptions confidence in
1,to these exemptions confidence
1,changes to these exemptions
1,with changes to these
1,but with changes to
1,advice but with changes
1,this advice but with
1,to this advice but
1,exemptions to this advice
1,exemptions confidence
1,these exemptions
1,to these
1,facing extremely challenging
1,the travel industry is facing
1,details the travel industry is
1,additional details the travel industry
1,facing extremely challenging times
1,is facing extremely challenging
1,industry is facing extremely
1,travel industry is facing
1,the travel industry is
1,the currently stated timeline
1,details the travel industry
1,additional details the travel
1,currently stated timeline of
1,extremely challenging times
1,is facing extremely
1,industry is facing extremely challenging
1,industry is facing
1,travel industry is
1,the travel industry
1,details the travel
1,challenging times
1,extremely challenging
1,facing extremely
1,is facing
1,travel industry
1,the travel
1,businesses will be adversely affected
1,stated timeline of november
1,seiss scheme for
1,travel industry is facing extremely
1,is facing extremely challenging times
1,changes to
1,even after lock down travel
1,with changes
1,but with
1,advice but
1,this advice
1,to this
1,exemptions to
1,been exemptions
1,have been
1,there have
1,travel advice remains against all
1,down travel advice remains against
1,lock down travel advice remains
1,after lock down travel advice
1,travel advice remains against
1,even after
1,down travel advice remains
1,lock down travel advice
1,after lock down travel
1,even after lock down
1,travel advice remains
1,down travel advice
1,lock down travel
1,after lock down
1,even after lock
1,travel advice
1,down travel
1,lock down
1,after lock
1,scheme for self
1,travel professionals
1,the seiss scheme
1,review social
1,november is adversely
1,until november is
1,distancing until november
1,social distancing until
1,review social distancing
1,to review social
1,not to review
1,decision not to
1,is in we call on
1,in we call on the
1,the decision not
1,many venues
1,and many
1,jobs and
1,of jobs
1,thousands of
1,jeopardising thousands
1,and jeopardising
1,chances and
1,we call on the government
1,call on the government to
1,on the government to review
1,the government to review the
1,recovery chances
1,affecting recovery
1,adversely affecting
1,is adversely
1,november is
1,until november
1,is adversely affecting
1,adversely affecting recovery
1,affecting recovery chances
1,until november is adversely
1,the decision not to review
1,jobs and many venues
1,of jobs and many
1,thousands of jobs and
1,jeopardising thousands of jobs
1,and jeopardising thousands of
1,chances and jeopardising thousands
1,industry is in we call
1,recovery chances and jeopardising
1,affecting recovery chances and
1,adversely affecting recovery chances
1,is adversely affecting recovery
1,november is adversely affecting
1,distancing until november is
1,recovery chances and
1,social distancing until november
1,review social distancing until
1,to review social distancing
1,not to review social
1,decision not to review
1,the decision not to
1,and many venues
1,jobs and many
1,of jobs and
1,thousands of jobs
1,jeopardising thousands of
1,and jeopardising thousands
1,chances and jeopardising
1,distancing until
1,not to
1,not to review social distancing
1,decision not
1,of november additional details the
1,timeline of november additional details
1,stated timeline of november additional
1,currently stated timeline of november
1,the currently stated timeline of
1,before the currently stated timeline
1,well before the currently stated
1,and well before the currently
1,force and well before the
1,in force and well before
1,remain in force and well
1,to remain in force and
1,need to remain in force
1,of social distancing in indoor
1,it need to remain in
1,should it need to remain
1,thereafter should it need to
1,basis thereafter should it need
1,regular basis thereafter should it
1,a regular basis thereafter should
1,on a regular basis thereafter
1,social distancing in indoor theatres
1,and on a regular basis
1,possible and on a regular
1,as possible and on a
1,soon as possible and on
1,as soon as possible and
1,theatres as soon as possible
1,indoor theatres as soon as
1,november additional details the theatre
1,additional details the theatre industry
1,details the theatre industry is
1,sum cannot do more than
1,the decision
1,organisations survive the current closure
1,government to review the continued
1,and organisations survive the current
1,venues and organisations survive the
1,some venues and organisations survive
1,help some venues and organisations
1,than help some venues and
1,more than help some venues
1,to review the continued imposition
1,review the continued imposition of
1,do more than help some
1,cannot do more than help
1,that sum cannot do more
1,the theatre industry is benefiting
1,but that sum cannot do
1,out but that sum cannot
1,bail out but that sum
1,the continued imposition of social
1,continued imposition of social distancing
1,imposition of social distancing in
1,culture bail out but that
1,the culture bail out but
1,from the culture bail out
1,benefiting from the culture bail
1,is benefiting from the culture
1,industry is benefiting from the
1,theatre industry is benefiting from
1,decision not to review social
1,to review social distancing until
1,extend the seiss
1,possibility of lifting
1,social distancing in theatres
1,lifting social distancing in
1,of lifting social distancing
1,possibility of lifting social
1,the possibility of lifting
1,these exemptions confidence in travelling
1,to the possibility of
1,given to the possibility
1,be given to the
1,to be given to
1,needs to be given
1,consideration needs to be
1,speedier consideration needs to
1,and speedier consideration needs
1,debated and speedier consideration
1,properly debated and speedier
1,be properly debated and
1,must be properly debated
1,longer must be properly
1,months longer must be
1,for months longer must
1,closed for months longer
1,theatres closed for months
1,keeping theatres closed for
1,for keeping theatres closed
1,rationale for keeping theatres
1,the rationale for keeping
1,distancing in theatres
1,lifting social distancing
1,the rationale for keeping theatres
1,rationale for keeping theatres closed
1,for keeping theatres closed for
1,be given to the possibility
1,in indoor theatres as soon
1,employed travel
1,the dire situation the theatre
1,for self
1,scheme for
1,seiss scheme
1,dire situation the theatre industry
1,lifting social distancing in theatres
1,of lifting social distancing in
1,possibility of lifting social distancing
1,the possibility of lifting social
1,to the possibility of lifting
1,given to the possibility of
1,to be given to the
1,keeping theatres closed for months
1,needs to be given to
1,consideration needs to be given
1,speedier consideration needs to be
1,and speedier consideration needs to
1,debated and speedier consideration needs
1,properly debated and speedier consideration
1,be properly debated and speedier
1,must be properly debated and
1,longer must be properly debated
1,months longer must be properly
1,for months longer must be
1,closed for months longer must
1,theatres closed for months longer
1,of lifting social
1,the possibility of
1,theatre industry is in we
1,to the possibility
1,and speedier
1,debated and
1,properly debated
1,be properly
1,must be
1,longer must
1,months longer
1,for months
1,closed for
1,theatres closed
1,keeping theatres
1,for keeping
1,rationale for
1,the rationale
1,of jobs and many venues
1,thousands of jobs and many
1,jeopardising thousands of jobs and
1,and jeopardising thousands of jobs
1,chances and jeopardising thousands of
1,recovery chances and jeopardising thousands
1,affecting recovery chances and jeopardising
1,adversely affecting recovery chances and
1,is adversely affecting recovery chances
1,november is adversely affecting recovery
1,until november is adversely affecting
1,distancing until november is adversely
1,social distancing until november is
1,review social distancing until november
1,the theatre industry is in
1,speedier consideration
1,consideration needs
1,needs to
1,for months longer
1,given to the
1,be given to
1,to be given
1,needs to be
1,consideration needs to
1,speedier consideration needs
1,and speedier consideration
1,debated and speedier
1,properly debated and
1,be properly debated
1,must be properly
1,longer must be
1,months longer must
1,closed for months
1,to be
1,theatres closed for
1,keeping theatres closed
1,for keeping theatres
1,rationale for keeping
1,the rationale for
1,in theatres
1,lifting social
1,of lifting
1,possibility of
1,the possibility
1,situation the theatre industry is
1,given to
1,be given
1,to these exemptions confidence in
1,football rugby
1,exemptions confidence in travelling is
1,will go out
1,fear that smaller
1,that smaller clubs
1,smaller clubs in
1,clubs in particular
1,in particular will
1,particular will go
1,go out of
1,effect on people
1,out of business
1,of business leading
1,business leading to
1,leading to a
1,to a devastating
1,a devastating effect
1,i fear that
1,as i fear
1,petition as i
1,this petition as
1,of this petition
1,support of this
1,the support of
1,for the support
1,ask for the
1,i ask for
1,on people
1,effect on
1,devastating effect
1,a devastating
1,to a
1,leading to
1,business leading
1,devastating effect on
1,i ask for the
1,out of
1,i ask for the support
1,of business leading to
1,business leading to a
1,leading to a devastating
1,to a devastating effect
1,a devastating effect on
1,devastating effect on people
1,ask for the support of
1,ask for the support
1,for the support of this
1,the support of this petition
1,support of this petition as
1,of this petition as i
1,this petition as i fear
1,petition as i fear that
1,out of business leading
1,go out of business
1,will go out of
1,particular will go out
1,in particular will go
1,clubs in particular will
1,smaller clubs in particular
1,that smaller clubs in
1,fear that smaller clubs
1,i fear that smaller
1,as i fear that
1,petition as i fear
1,this petition as i
1,of this petition as
1,support of this petition
1,the support of this
1,for the support of
1,of business
1,go out
1,allow a percentage
1,a percentage of fans
1,as france and germany
1,france and germany now
1,and germany now allow
