Frequency,Phrase
14,additional details
13,of the
7,the government
6,to be
6,on the
6,in the
4,government should
4,by the
4,fossil fuels
4,the current
4,the government should
3,that the
3,and is
3,environmentally friendly
3,to the
3,the environment
3,as well
3,well as
3,additional details the
3,low impact
3,air pollution
3,details the
3,of our
3,should be
3,the rhs
3,to allow
3,the trustees
3,part of
3,the british museum
3,utility companies
3,as well as
3,sign up
3,is a
3,to record
3,to their
3,this is
3,the british
3,british museum
2,in england
2,impact and sustainable
2,low impact and
2,climate change
2,there is
2,museum act 1963
2,impact and
2,place of origin
2,british museum act
2,a public
2,the british museum act 1963
2,to their place of origin
2,to their place of
2,it is
2,through the
2,low impact and sustainable
2,british museum act 1963
2,the british museum act
2,part of our
2,with the
2,their place of origin
2,pollution and
2,in order
2,be lost
2,to fossil
2,1st january
2,10 years
2,due to
2,of way
2,rights of
2,pear tree
2,cubbington pear
2,solar pv and battery
2,january 2026
2,fish stocks and endanger
2,fish stocks and
2,and that
2,supertrawlers are
2,i am
2,by reducing
2,reliance on
2,the grid
2,reliance on the
2,on the grid
2,stocks and endanger
2,1st january 2026
2,to fossil fuels
2,pv and
2,thousands of
2,can be
2,they will be
2,to their place
2,will be
2,they will
2,recording a
2,solar pv
2,and battery
2,cubbington pear tree
2,fish stocks
2,stocks and
2,and endanger
2,homes to
2,to save
2,rights of way
2,solar pv and
2,pv and battery
2,their place of
2,act 1963
2,one planet
2,is no longer
2,junction 10 of the a3
2,10 of the a3 m25
2,to protect
2,the local
2,is no
2,no longer
2,rhs garden
2,garden wisley
2,to get across
2,planet development
2,rhs garden wisley
2,way of
2,to step in
2,get across
2,to get
2,decibel limit
2,over the
2,the counter
2,for junction 10 of the
2,of the a3 m25
2,10 of the a3
2,junction 10 of the
2,the secretary
2,secretary of
2,of state
2,for junction
2,junction 10
2,10 of
2,the a3
2,a3 m25
2,the secretary of
2,secretary of state
2,for junction 10
2,junction 10 of
2,10 of the
2,of the a3
2,the a3 m25
