Frequency,Phrase
61,additional details
42,the government
29,the uk
27,of the
17,government should
16,in the
16,to the
16,government to
15,details the
15,additional details the
15,covid 19
14,the government should
13,by the
12,this is
12,to be
11,the government to
11,we believe
11,for the
10,should be
10,able to
9,is a
9,the people
9,the current
9,and the
8,on the
8,uk government
8,the uk government
8,it is
7,building safety
7,have been
7,government is
7,which is
6,be able
6,that the
6,as a
6,are not
6,be able to
6,the government is
6,to pay
6,to a
6,will be
5,additional details i
5,believe the
5,to make
5,we believe the
5,details i
5,must be
5,can be
5,additional details we
5,unable to
5,they are
5,does not
5,would like
5,would be
5,the law
5,human rights
5,many people
5,details we
5,people have
5,there are
5,such as
5,has been
5,this could
5,i am
5,for a
5,due to
5,the pandemic
4,so that
4,a job
4,who are
4,to protect
4,rather than
4,the country
4,from the
4,rights and
4,birth certificate
4,a new
4,order to
4,with the
4,people who
4,as the
4,have to
4,state pension
4,anti homeless architecture
4,homeless architecture
4,the british
4,we are
4,mental health
4,a referendum
4,forced adoption
4,to have
4,be a
4,to claim
4,such a
4,not be able to
4,anti homeless
4,not be able
4,government of
4,not be
4,should not
4,uk government to
4,the uk government to
4,i would like
4,is unfair
4,i would
4,with a
4,them to
4,to ensure
4,the over
4,19 and
4,more than
4,to work
4,a government
4,that this
4,covid 19 and
4,in england
3,the same
3,details we believe
3,we believe that
3,a public
3,paying for
3,additional details we believe
3,human rights and
3,and to
3,the region
3,government must
3,the uk is
3,a second
3,in the uk
3,the tamil
3,to covid
3,the guidance
3,to investigate
3,to local
3,the transition
3,transition period
3,without a
3,that are
3,need to be
3,not be able to afford
3,the industry
3,help to
3,will help
3,and their
3,the government should take
3,we need
3,the childs
3,in place
3,from covid
3,afford to
3,fathers name
3,is only
3,to the uk
3,government should take
3,ensure that
3,of people
3,it doesnt
3,law to
3,uk is
3,and provide
3,should take
3,believe that
3,will not be able to
3,to continue
3,the public
3,tax payers
3,the windrush
3,windrush generation
3,to afford
3,will not
3,extend the
3,the furlough
3,furlough scheme
3,are being
3,children and
3,should also
3,colombia is
3,under the
3,affected by
3,to operate
3,the furlough scheme
3,due to the
3,to allow
3,the windrush generation
3,council tax
3,by the people
3,the chancellor
3,to live
3,will have
3,pay for
3,a minister
3,the transition period
3,to find
3,lead to
3,and that
3,be able to afford
3,will not be able
3,have no
3,a government of
3,they have
3,this will
3,is not
3,the governments
3,women and
3,the nation
3,that they
3,able to afford
3,many people have
3,will not be
3,to end
3,on whether
3,for a job
3,do not
3,at a
3,cover the
3,a cross
3,cross party
3,for them
3,reduce the
3,to renew
3,did not
3,government and
3,in that
3,the economy
3,could be
3,that will
3,a cross party
3,take the
3,of london
3,there is
3,have a
3,hold a
3,need to
3,the minimum
3,do so
3,this would
3,most vulnerable
3,well as
3,will help to
3,as well
3,we want
3,responsible for
3,as well as
2,ban anti homeless
2,to 2 100hl
2,to cover the windrush generation
2,order to cover the windrush
2,remedial order to cover the
2,freedom of
2,nationality act remedial order to
2,act remedial order to cover
2,british nationality act remedial order
2,the british nationality act remedial
2,that surrounds
2,guidance sent to local councils
2,additional details we believe the
2,19 has
2,for all
2,the guidance sent to local
2,the rest
2,has led to
2,this has
2,have to pay
2,the building
2,rest of
2,for their
2,to pay more
2,cost of
2,safety is
2,the freedom
2,fire safety
2,care for
2,of brexit
2,windrush generation and their descendants
2,like to
2,the windrush generation and their
2,i am not alone in
2,cover the windrush generation and
2,ban anti homeless architecture
2,will have to
2,this petition
2,details we believe the
2,and as
2,act remedial order to
2,nationality act remedial order
2,british nationality act remedial
2,the british nationality act
2,the covid19
2,leisure and
2,and hospitality
2,the two
2,covid19 pandemic
2,as such
2,uk residents
2,i would like to
2,at 80 percent
2,to the covid19
2,the mental
2,the covid19 pandemic
2,the rest of
2,leisure and hospitality
2,and as such
2,safety bill
2,remedial order to cover
2,80 percent
2,into the
2,at 80
2,current system
2,has to
2,would like to
2,in light of
2,covid 19 has
2,the most
2,the pandemic and
2,windrush generation and their
2,the current system
2,the windrush generation and
2,cover the windrush generation
2,to cover the windrush
2,to the pandemic and
2,the house
2,referendum to
2,interference in
2,will have to pay
