Frequency,Phrase
34,additional details
18,the government
17,to be
13,of the
12,have to
12,in the
12,should be
11,covid 19
10,the uk
9,to pay
9,to the
7,the nhs
7,there is
7,not be
7,government should
7,the government should
7,on the
6,the same
6,be a
6,i would
6,in the uk
6,details the
6,able to
6,additional details the
6,government to
6,to make
6,have a
6,the government to
6,needs to
5,we need
5,of a
5,to pay for
5,by a
5,pay for
5,are not
5,would like
5,due to
5,have to pay
5,not have
5,as a
5,needs to be
4,would be
4,be able to
4,with the
4,with cystic fibrosis
4,smear test
4,mental health
4,can be
4,details we
4,should not
4,it is
4,we have
4,nhs england
4,be able
4,additional details we
4,and other
4,for the
4,within 2
4,to have
4,i would like
4,thousands of
4,expected to
4,cystic fibrosis
4,i was
4,within 2 weeks
4,i have
4,people with
4,out to
4,this is
4,2 weeks
4,with cystic
4,on the nhs
4,side effects
4,do not
4,patients with
3,additional details in
3,way to
3,to school
3,we believe
3,not be able to
3,children to
3,offered a smear
3,details in
3,were not
3,with cf
3,a smear test
3,people in
3,having to
3,a smear
3,swimming clubs
3,offered a
3,the right
3,you are
3,offered a smear test
3,patients with suspected
3,of covid
3,lack of
3,they are
3,have to pay for
3,with suspected
3,living with
3,bereaved parents
3,and the
3,cervical cancer
3,as part of
3,nhs staff
3,had been
3,treatment and
3,have been
3,could have
3,to help
3,part of
3,as part
3,to support
3,a claim against
3,was not
3,changes to
3,do not have
3,access to
3,to work
3,at the
3,claim against
3,a claim
3,which can
3,could be
3,and a
3,must be
3,breast cancer
3,and are
3,risk assessment
3,to tackle
3,children to school
3,such as
3,not be able
3,cell changes
3,like the
3,ensure that
3,to take
3,up to
3,sickle cell
3,will not
3,calorie counts
2,smear test from the age
2,age of 16
2,funding for
2,a specialist within 2
2,parents who
2,offered a smear test from
2,by a specialist within
2,heart failure
2,a smear test from the
2,from the age of 16
2,provide funding
2,it would be
2,test from the age of
2,bereaved parents who
2,be offered a smear test
2,the age of
2,as this
2,i believe
2,additional details many
2,specialist within 2 weeks
2,psychological support
2,the age of 16
2,from the age of
2,to include
2,test from the age
2,women have
2,deaths and
2,it would
2,not to
2,many women
2,affected by
2,smear test from the
2,a smear test from
2,be offered a smear
2,details many
2,commissioning policy
2,would like the
2,by a specialist within 2
2,a specialist within 2 weeks
2,from the age
2,to stay
2,test from the
2,smear test from
2,that the
2,for bringing a claim against
2,the evidence
2,and for
2,for clinicians
2,does not
2,are following
2,gyms are
2,a problem
2,in their
