Frequency,Phrase
14,additional details
10,the government
7,to be
6,of the
6,in the
5,care leavers
5,the uk
5,is not
5,places of
5,this is
4,the wedding
4,the first
4,government should
4,government to
4,should be
4,in the uk
4,the government should
4,of worship
4,places of worship
4,we are
3,to the
3,weddings should be
3,have been
3,wedding sector
3,to give
3,of their
3,allowed to
3,their gender
3,are allowed
3,a wedding
3,covid 19
3,the wedding sector
3,we need
3,are allowed to
3,are not
3,weddings should
3,able to
3,during the
3,the current
3,due to
3,and internet
3,to ensure
3,and the
3,social distancing
2,i would like the government
2,to allow
2,that all
2,there will
2,will be
2,number of guests
2,because of their gender
2,under 12s
2,would like the government to
2,would like the government
2,corporate worship
2,such as
2,like the government to
2,and internet access
2,i would like the
2,on the
2,of guests
2,number of
2,should not
2,was given
2,digitally connected
2,believe the
2,distancing is
2,leavers are
2,and cannot
2,moving in
2,device and
2,this seasonal
2,details the
2,has a
2,get through
2,through the
2,the usa
2,get through the
2,additional details the
2,the first to
2,to do
2,rugby league
2,according to
2,students are
2,too long
2,will close
2,internet access
2,when we
2,device and internet
2,digital device
2,digital device and
2,a digital device
2,for the
2,a digital device and internet
2,digital device and internet access
2,guidance on
2,there will be
2,for care leavers
2,this is not
2,like the government
2,for care
2,first to
2,and still
2,we believe
2,a digital
2,the government to
2,at the
2,would like the
2,we are allowed to
2,basketball has been
2,be reviewed
2,a sport
2,it is
2,of their gender
2,because of their
2,help us
2,to be able
2,be able to
2,to take
2,allowed to open
2,in england
2,due to the
2,we are allowed
2,to open
2,open in
2,of a
2,basketball has
2,on guests
2,we are allowed to open
2,i would like
2,by their
2,need to be able to
2,need to be able
2,to be able to
2,so many
2,loss of
2,of us
2,worship is
2,are allowed to open
2,need to be
2,i would
2,a digital device and
2,financial stability
2,need to
2,prior to
2,million pounds
2,to a
2,care leavers are
2,be able
2,has been
2,because of
2,digital device and internet
2,social distancing is
2,device and internet access
2,like the
2,would like
1,to unnecessary pressure on
1,meetings which could
1,could lead to unnecessary
1,asks that
1,petition asks
1,risky meetings which
1,many very risky
1,example if
1,suppliers dj photographers and officiant
1,lead to unnecessary pressure
1,this petition
1,dj photographers and officiant etc
1,which could lead to
1,including suppliers dj photographers and
1,very risky meetings
1,very risky meetings which
1,that the
1,could lead to
1,pressure on the
1,reviewed and
1,there will be many
