Frequency,Phrase
5,to the
3,due to the
3,additional details
3,test centres
3,to be
3,due to
3,it is
2,their driving
2,to book
2,book a
2,a test
2,book a test
2,for the
2,to book a
2,the test
2,practice freely
2,growing backlog
2,to book a test
2,uk government
2,the dvsa
2,muslims and
2,to drive
1,examiners back to the test
1,post examiners back to the
1,open all test centres
1,and post examiners back to
1,capacity and post examiners back
1,full capacity and post examiners
1,all test centres to
1,back to the test centres
1,test centres to full
1,to full capacity and post
1,centres to full capacity and
1,test centres to full capacity
1,all test centres to full
1,open all test centres to
1,immediately open all test
1,examiners back to the
1,immediately open all test centres
1,dvsa immediately open all
1,the test centres that need
1,the dvsa immediately open
1,test centres that need them
1,social distancing
1,distancing between
1,that the dvsa immediately
1,vital that the dvsa
1,between examiners
1,examiners can
1,can be
1,be achieved
1,is vital that the
1,to the test centres that
1,dvsa immediately open all test
1,centres to full capacity
1,the dvsa immediately open all
1,back to the test
1,to the test centres
1,the test centres that
1,test centres that need
1,centres that need them
1,post examiners back to
1,to tackle the ever growing
1,and post examiners back
1,capacity and post examiners
1,tackle the ever growing backlog
1,the ever growing backlog of
1,ever growing backlog of candidates
1,growing backlog of candidates waiting
1,backlog of candidates waiting to
1,of candidates waiting to take
1,candidates waiting to take driving
1,waiting to take driving tests
1,to take driving tests it
1,take driving tests it is
1,achieved by
1,tests it is vital that
1,it is vital that the
1,is vital that the dvsa
1,vital that the dvsa immediately
1,that the dvsa immediately open
1,full capacity and post
1,to full capacity and
1,driving tests it is vital
1,test times
1,by staggering
1,many miles
1,learned to
1,and learned
1,live and
1,candidates live
1,where candidates
1,from where
1,miles from
1,centres many
1,details the growing
1,other centres
1,to other
1,examiners to
1,posting examiners
1,and posting
1,centres and
1,local test
1,additional details the
1,the growing backlog
1,staggering the
1,capacity of many
1,posting examiners to
1,and posting examiners
1,centres and posting
1,test centres and
1,local test centres
1,many local test
1,of many local
1,the capacity of
1,growing backlog is
1,reducing the capacity
1,dvsa reducing the
1,the dvsa reducing
1,to the dvsa
1,mostly due to
1,is mostly due
1,backlog is mostly
1,many local
1,of many
1,capacity of
1,by staggering the
1,can be achieved by
1,examiners can be achieved
1,between examiners can be
1,distancing between examiners can
1,social distancing between examiners
1,the test times
1,staggering the test
1,achieved by staggering
1,the capacity
1,be achieved by
1,can be achieved
1,examiners can be
1,between examiners can
1,distancing between examiners
1,social distancing between
1,tests it is vital
1,be achieved by staggering
1,achieved by staggering the
1,by staggering the test
1,staggering the test times
1,reducing the
1,dvsa reducing
1,mostly due
1,is mostly
1,backlog is
1,the growing
1,details the
1,by staggering the test times
1,achieved by staggering the test
1,be achieved by staggering the
1,can be achieved by staggering
1,examiners can be achieved by
1,between examiners can be achieved
1,distancing between examiners can be
1,social distancing between examiners can
1,it is vital that
1,put pressure
